       132,          6550,  -98895,   62286,   36606,  -80746,   78675,   -3993,  -16432,   16204,   92036,   99476,   93842,   -2069,   99476,   93842,   -2069,  -16432,   92446,   92036,   99520,   33936,   96793
       133,          6600,  -99157,   60801,   38354,  -81787,   77517,   -2133,  -15755,   14875,   91864,   99489,   94004,   -4148,   99489,   94004,   -4148,  -15755,   92635,   91864,   99533,   34047,   96728
       134,          6650,  -99383,   59294,   40088,  -82800,   76331,    -272,  -15094,   13567,   91694,   99501,   94161,   -6226,   99501,   94161,   -6226,  -15094,   92820,   91694,   99546,   34156,   96662
       135,          6700,  -99575,   57765,   41807,  -83784,   75119,    1588,  -14450,   12279,   91524,   99513,   94314,   -8264,   99513,   94314,   -8264,  -14450,   93000,   91524,   99557,   34262,   96599
       136,          6750,  -99730,   56216,   43512,  -84740,   73880,    3447,  -13822,   11012,   91355,   99525,   94463,  -10259,   99525,   94463,  -10259,  -13822,   93175,   91355,   99569,   34365,   96536
       137,          6800,  -99851,   54648,   45201,  -85666,   72616,    5305,  -13212,    9765,   91188,   99536,   94608,  -12255,   99536,   94608,  -12255,  -13212,   93346,   91188,   99580,   34465,   96473
       138,          6850,  -99936,   53059,   46875,  -86563,   71325,    7160,  -12618,    8539,   91021,   99546,   94749,  -14230,   99546,   94749,  -14230,  -12618,   93513,   91021,   99591,   34562,   96411
       139,          6900,  -99985,   51452,   48531,  -87429,   70008,    9013,  -12042,    7333,   90856,   99557,   94887,  -16163,   99557,   94887,  -16163,  -12042,   93676,   90856,   99601,   34657,   96350
       140,          6950,  -99999,   49827,   50171,  -88264,   68666,   10863,  -11482,    6147,   90692,   99567,   95020,  -18075,   99567,   95020,  -18075,  -11482,   93835,   90692,   99611,   34750,   96290
       141,          7000,  -99978,   48184,   51792,  -89069,   67300,   12709,  -10939,    4982,   90529,   99577,   95151,  -19988,   99577,   95151,  -19988,  -10939,   93990,   90529,   99621,   34840,   96230
       142,          7050,  -99921,   46524,   53395,  -89842,   65908,   14550,  -10413,    3837,   90368,   99586,   95277,  -21859,   99586,   95277,  -21859,  -10413,   94141,   90368,   99630,   34927,   96172
       143,          7100,  -99828,   44847,   54979,  -90584,   64492,   16386,   -9904,    2711,   90208,   99595,   95401,  -23709,   99595,   95401,  -23709,   -9904,   94288,   90208,   99640,   35013,   96113
